ID	제목	시작일	종료일	장소	최저가(할인 미포함)	관람시간	관람연령
E_00000001	뮤지컬 〈등등곡〉	2025-06-24	2025-09-14	예스24스테이지 1관	"S석55,000원"	100분	중학생이상
E_00000002	뮤지컬 〈위키드〉 내한 공연(WICKED The Musical)	2025-07-12	2025-10-26	블루스퀘어 신한카드홀	"A석80,000원"	170분(인터미션 20분 포함)	8세이상
E_00000003	뮤지컬 〈팬텀〉 10주년 기념 공연	2025-05-31	2025-08-11	세종문화회관 대극장	"B석70,000원"	170분(인터미션 20분 포함)	8세이상
E_00000004	뮤지컬 〈브로드웨이 42번가〉	2025-07-10	2025-09-14	샤롯데씨어터	"A석80,000원"	160분(인터미션 20분 포함)	8세이상
E_00000005	뮤지컬 〈멤피스〉	2025-06-17	2025-09-21	충무아트센터 대극장	"A석80,000원"	160분(인터미션 20분 포함)	14세 이상
E_00000006	뮤지컬 〈맘마미아!〉	2025-07-26	2025-10-25	LG아트센터 서울 LG SIGNATURE 홀	"A석??80,000원"	160분(인터미션 20분 포함)	8세이상
E_00000007	"뮤지컬 〈스웨그에이지 외쳐,조선!〉"	2025-06-20	2025-08-31	홍익대 대학로 아트센터 대극장	"A석 (일반)?60,000원"	170분(인터미션 20분 포함)	8세이상
E_00000008	뮤지컬 〈쉐도우〉	2025-09-05	2025-10-26	백암아트홀(자세히)	"R석66,000원"	110분	8세이상?
E_00000009	뮤지컬 〈프리다〉	2025-06-17	2025-09-07	NOL 유니플렉스 1관	"A석55,000원"	110분	14세 이상
E_00000010	뮤지컬 〈차미〉	2025-05-29	2025-08-24	대학로 TOM(티오엠) 1관	"S석50,000원"	110분	미취학아동입장불가
E_00000011	뮤지컬 〈쇼맨_어느 독재자의 네 번째 대역배우〉	2025-07-11	2025-08-31	국립정동극장	"전석70,000원"	120분	13세 이상
E_00000012	뮤지컬 〈빨래〉 - 20년의 시간 30번째 무대	2025-03-12	2025-09-21	NOL 유니플렉스 2관	"S석55,000원"	165분(인터미션 15분 포함)	14세 이상
E_00000013	뮤지컬 〈번 더 위치〉	2025-07-08	2025-10-12	홍익대 대학로 아트센터 소극장	"전석65,000원"	90분	16세 이상
E_00000014	"뮤지컬 〈다시, 동물원〉"	2025-06-26	2025-09-14	동덕여자대학교 공연예술센터 코튼홀	"S석55,000원"	110분	8세이상
E_00000015	뮤지컬 위대한개츠비(The Great Gatsby) - 서울 오리지널 프로덕션	2025-08-01	2025-11-09	GS아트센터	"A석90,000원"	155분(인터미션 20분 포함)	14세 이상
E_00000016	뮤지컬 〈마리 퀴리〉	2025-07-25	2025-10-19	광림아트센터 BBCH홀	"A석60,000원"	150분(인터미션 15분 포함)	만 8세이상
E_00000017	베어 더 뮤지컬 (bare the musical)	2025-06-03	2025-09-14	두산아트센터 연강홀	"S석77,000원"	165분(인터미션 15분 포함)	16세 이상
E_00000018	뮤지컬 〈스트라빈스키〉	2025-07-28	2025-10-12	대학로 TOM(티오엠) 2관	"S석55,000원"	90분	8세이상
E_00000019	〈슬립노모어 서울〉 (Sleep No More Seoul)	2025-07-24	2025-08-31	매키탄 호텔 (The McKithan Hotel)	"Guest??190,000원"	180분	만 19세이상
E_00000020	뮤지컬 〈머피〉	2025-06-03	2025-08-24	예그린씨어터	"전석60,000원"	100분	초등학생이상
E_00000021	뮤지컬 지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 고양	2025-08-15	2025-08-17	고양아람누리 아람극장	"A석80,000원"	170분(인터미션 20분 포함)	14세 이상
