수도권,,,,,,,
ID,제목,시작일,종료일,장소,최저가,관람시간,관람연령
E_00000101,연극 〈고도를 기다리며를 기다리며〉,2025-09-16,2025-11-16,예스24스테이지 3관,"전석66,000원",85분,만 13세이상
E_00000102,연극 〈셰익스피어 인 러브〉,2025-07-05,2025-09-14,예술의전당 CJ 토월극장,"A석60,000원",180분(인터미션 15분 포함),중학생이상
E_00000103,연극 〈2호선세입자〉 : 지하철 생존 코미디,2022-01-14,오픈런,대학로 바탕골 소극장,"일반석50,000원",90분,8세이상
E_00000104,연극 〈쉬어매드니스〉,2015-11-12,오픈런,콘텐츠박스(KONTENTZ BOX),"전석??60,000원",110분(인터미션 7분 포함),만 15세이상
E_00000105,연극 〈사의 찬미〉,2025-07-11,2025-08-17,LG아트센터 서울 U+ 스테이지,"발코니석55,000원",100분,14세 이상
E_00000106,연극 〈2시 22분 - A GHOST STORY〉,2025-07-05,2025-08-16,세종문화회관 M씨어터,"S석50,000원",130분(인터미션 15분 포함),14세 이상
E_00000107,연극 〈프리마 파시〉,2025-08-27,2025-11-02,충무아트센터 중극장 블랙,"S석55,000원",110분,17세 이상
E_00000108,블랙코미디 최강자! 연극 〈죽여주는 이야기〉,2023-07-01,오픈런,지인시어터(구.알과핵소극장),"50,000원",90분,8세이상
E_00000109,연극 〈킬 미 나우〉 : 연극열전10_여섯 번째 작품,2025-06-06,2025-08-17,충무아트센터 중극장 블랙,"S석44,000원",130분,만 14세이상
E_00000110,코믹추리스릴러 연극 〈행오버〉,2023-05-01,2025-08-31,정극장,"전석50,000원",90분,16세 이상
E_00000111,대학로 혜화 연극 한뼘사이,2025-05-01,오픈런,라온아트홀,"일반석60,000원",105분,만 12세이상
E_00000112,연극 〈보도지침〉,2025-07-05,2025-08-17,서울숲 씨어터 1관,"전석55,000원",120분,중학생이상
E_00000113,뮤직드라마 〈불편한 편의점〉 - 올웨이즈씨어터,2023-04-08?,오픈런,올웨이즈씨어터,"60,000원",100분,초등학생이상
E_00000114,연극 〈렛미인〉,2025-07-03,2025-08-16,국립극장 해오름극장,"A석33,000원",140분(인터미션 20분 포함),14세 이상
E_00000115,연극〈늘근도둑이야기〉,2022-03-05,오픈런,대학로 아트포레스트 1관,"전석50,000원",100분,12세이상
E_00000116,4D공포연극 〈스위치〉,2022-02-11?,오픈런,아스가르드 씨어터,"전석50,000원",90분,만 13세이상
E_00000117,연극 〈나의 아저씨〉,2025-08-22,2025-09-27,LG아트센터 서울 U+ 스테이지,"발코니석55,000원",150분,14세 이상
E_00000118,［서울 대학로］연극 라면,2024-02-01,2025-08-31,대학로 해피씨어터,"전석60,000원",90분,만 9세이상
E_00000119,국민연극 〈라이어〉 - 상명아트홀 1관,2025-01-10,오픈런,상명아트홀 1관,"전석50,000원",100분,중학생이상
E_00000120,국민 코믹 연극 〈오백에삼십〉 - 대학로 JTN 아트홀 3관,2024-03-01,오픈런,JTN 아트홀 3관,"일반석50,000원",100분,14세 이상
E_00000121,연극 〈디 이펙트(THE EFFECT)〉,2025-06-10,2025-08-31,NOL 서경스퀘어 스콘 2관,"S석??55,000원",125분(인터미션 10분 포함),만 16세이상
E_00000122,연극 서울의 별,2025-08-15,2025-10-26,대학로 아트하우스,"일반석50,000원",100분,만 12세이상
E_00000123,연극〈옥탑방고양이〉- 틴틴홀,2010-04-06,오픈런,대학로 틴틴홀,"일반석50,000원",100분,13세 이상
