ID	제목	시작 날짜	종료 날짜	장소(지역)	카테고리	가격	관람시간	관람연령
E_00000251	멜로망스 전국투어	2025-07-26	2025-07-27	김대중컨벤션센터 다목적홀 (서울)	콘서트	"121,000원"	120분	초등학생 이상
E_00000252	세븐틴 월드투어 - 인천	2025-09-13	2025-09-14	인천 아시아드 주 경기장 (인천)	콘서트	"132,000원"	120분	초등학생 이상
E_00000253	Syn. THE Size X 실리카겔	2025-08-30	2025-08-31	킨텍스 1 전시장 1홀 (경기)	콘서트	"121,000원"	120분	초등학생 이상
E_00000254	권지안 팬 미팅	2025-09-19	2025-09-21	블루스퀘어 SOL트래블홀 (서울)	콘서트	"110,000원"	120분	초등학생 이상
E_00000255	악동들 AKMU	2025-08-08	2025-08-24	명화라이브홀 (서울)	콘서트	"132,000원"	120분	초등학생 이상
E_00000256	싸이 흠뻑쇼	2025-08-15	2025-08-16	부산아시아드 보조경기장 (부산)	콘서트	"175,000원"	120분	전체관람가
E_00000257	<5.0> 10cm 콘서트	2025-08-09	2025-08-10	올림픽공원 핸드볼경기장 (서울)	콘서트	"121,000원"	120분	초등학생 이상
E_00000258	<ATTRACTION> TOUCHED	2025-08-23	2025-08-24	킨텍스 제2전시장 10홀 (경기)	콘서트	"132,000원"	120분	초등학생 이상
E_00000259	박보검 팬미팅	2025-08-01	2025-08-02	장충체육관 (서울)	콘서트	"44,000원"	150분	전체관람가
E_00000260	PLAVE 아시아 투어	2025-08-15	2025-08-17	KSPO DOME (서울)	콘서트	"154,000원"		12세 이상
E_00000261	허용별 보컬 전쟁	2025-08-03	2025-08-03	인스파이어 아레나 (인천)	콘서트	"110,000원"	120분	초등학생 이상
E_00000262	이승환 35주년 콘서트 <HEAVEN>	2025-09-13	2025-09-13	군산예술의 전당 대공연장 (전북)	콘서트	"132,000원"	150분	초등학생 이상
E_00000263	양세브로쇼	2025-08-09	2025-08-10	블루스퀘어 SOL트래블홀 (서울)	콘서트	"88,000원"	120분	초등학생 이상
E_00000264	오아시스 내한공연	2025-10-21	2025-10-21	고양종합운동장 (경기)	콘서트	"99,000원"	120분	초등학생 이상
E_00000265	부활 40주년 콘서트	2025-08-16	2025-08-16	충남대학교 정심화홀 (대전)	콘서트	"88,000원"	120분	초등학생 이상
